name,description,latitude,longitude,day,order
Day 1 · 8/31 1. 바르셀로나 엘프라트 공항,19:00 도착 · 현지 시간 기준 대략 저녁 7시 도착.,41.2974,2.0833,Day 1 · 8/31,1
Day 1 · 8/31 2. 숙소 체크인,밤 · 짐 풀고 휴식. Day2 아침 투어 준비.,41.3921707,2.1578355,Day 1 · 8/31,2
Day 2 · 9/1 1. 카사 바트요,07:50 투어 시작 · 가우디 투어 1번째. 동선 확정.,41.3916,2.1649,Day 2 · 9/1,1
Day 2 · 9/1 2. 카사 밀라 (라 페드레라),투어 중 · 가우디 투어 2번째. 숙소(프로벤사)와 매우 가까움.,41.3954,2.1619,Day 2 · 9/1,2
Day 2 · 9/1 3. 구엘 공원,투어 중 · 가우디 투어 3번째.,41.4145,2.1527,Day 2 · 9/1,3
Day 2 · 9/1 4. 카사 비센스,투어 중 · 가우디 투어 4번째.,41.4035,2.1507,Day 2 · 9/1,4
Day 2 · 9/1 5. 사그라다 파밀리아 (투어),~13:50 투어 종료 · 가우디 투어 마지막. 07:50–13:50 구간 종료 지점.,41.4036,2.1744,Day 2 · 9/1,5
Day 2 · 9/1 7. 사그라다 파밀리아 내부 투어,16:00–17:00 · 내부 입장 확정. 투어와 별도 예약.,41.4036,2.1744,Day 2 · 9/1,7
Day 3 · 9/2 1. 바르셀로나 산츠 역,오전 · 지로나행 열차 탑승. 숙소(프로벤사)에서 메트로/도보+메트로로 이동.,41.3790068,2.1400042,Day 3 · 9/2,1
Day 3 · 9/2 2. 지로나 역,오전 · 구시가지까지 도보 10–15분.,41.9794651,2.8167745,Day 3 · 9/2,2
Day 3 · 9/2 3. 오냐르 강 · 색색 집들,오전~점심 · 지로나 대표 포토 스팟. 강변 다리에서 사진.,41.9854374,2.8243548,Day 3 · 9/2,3
Day 3 · 9/2 4. 유대인 지구 (엘 카이),오전~오후 · 유럽에서 잘 보존된 유대인 지구. 골목 산책.,41.9858,2.8249,Day 3 · 9/2,4
Day 3 · 9/2 5. 지로나 대성당,오후 · 긴 계단이 포인트. 내부는 취향에 따라.,41.9864268,2.8253485,Day 3 · 9/2,5
Day 3 · 9/2 6. 아랍 목욕탕,오후 · 작지만 분위기 좋음. 시간이 없으면 패스 가능.,41.9880582,2.8257024,Day 3 · 9/2,6
Day 3 · 9/2 8. 지로나 → 바르셀로나 복귀,저녁 · 산츠 역 도착 후 숙소로.,41.9794651,2.8167745,Day 3 · 9/2,8
Day 6 · 9/5 2. 바르셀로나 엘프라트 공항,오후 출발 (시각 미정) · 정확한 출발 시각 업데이트 예정.,41.2974,2.0833,Day 6 · 9/5,2
