name,description,latitude,longitude,day,order
Day 1 1. 플라사 카탈루냐,오후 · 시내 중심. 메트로·버스 환승 허브.,41.387,2.1701,Day 1,1
Day 1 2. 람블라스 거리,오후 · 산책용. 너무 오래 머물지 말고 골목으로 빠지세요.,41.381,2.1733,Day 1,2
Day 1 3. 보케리아 시장,오후 · 과일·주스·타파스. 점심 겸 가볍게.,41.3817,2.1716,Day 1,3
Day 1 4. 바르셀로나 대성당,오후 · 고딕 지구 입구. 주변 골목 산책.,41.384,2.1762,Day 1,4
Day 1 5. 플라사 레이알,저녁 전 · 가우디 가로등이 있는 광장.,41.3802,2.1753,Day 1,5
Day 1 6. 산타 마리아 델 마르,저녁 · 보른 지구. 저녁 식사 추천 구역.,41.3836,2.1821,Day 1,6
Day 1 7. 바르셀로네타 해변,일몰 · 해질녘 산책. 피곤하면 보른에서 마무리해도 OK.,41.3785,2.1925,Day 1,7
Day 2 1. 사그라다 파밀리아,오전 09:30 · 타워 입장권이면 더 좋음. 정문 사진 포인트 확보.,41.4036,2.1744,Day 2,1
Day 2 2. 산트파우 병원,오전~점심 · 사그라다에서 도보 15분. 한적하고 사진 좋음.,41.4136,2.1745,Day 2,2
Day 2 3. 카사 바트요,오후 · 파세이그 데 그라시아. 외관 감상 또는 내부 투어.,41.3916,2.1649,Day 2,3
Day 2 4. 카사 밀라 (라 페드레라),오후 · 옥상 굴뚝이 포인트. 바트요와 가까운 동선.,41.3954,2.1619,Day 2,4
Day 2 5. 파세이그 데 그라시아,저녁 · 쇼핑·카페. 저녁은 에이샴플레 또는 그라시아로.,41.391,2.1648,Day 2,5
Day 3 1. 파크 구엘,오전 09:00 · 모자이크 도마뱀·전망 테라스. 오전 슬롯이 한산.,41.4145,2.1527,Day 3,1
Day 3 2. 그라시아 지구,점심 · 플라사 델 솔 등에서 현지인 분위기 점심.,41.4036,2.158,Day 3,2
Day 3 3. 카사 비센스,오후 · 가우디 초기작. 시간이 없으면 패스 가능.,41.4035,2.1507,Day 3,3
Day 3 4. 벙커스 델 카르멜,일몰 · 시내 최고 전망 중 하나. 물·모자 챙기기.,41.4193,2.1608,Day 3,4
Day 4 1. 몬주익 성,오전 · 항구·시내 전망. 케이블카로 올라가도 좋음.,41.3633,2.1651,Day 4,1
Day 4 2. 미로 미술관,오전~점심 · 취향이면 방문. 아니면 MNAC로 바로 이동.,41.3686,2.1598,Day 4,2
Day 4 3. 카탈루냐 국립미술관 (MNAC),오후 · 건물 계단 전망만 봐도 가치 있음.,41.3683,2.1535,Day 4,3
Day 4 4. 스페인 광장 · 매직 분수,저녁 · 분수 쇼가 있으면 저녁에 맞춰 대기.,41.3711,2.1516,Day 4,4
Day 4 5. 포트 벨,밤 · 항구 산책·저녁 식사. 마레마그눔 쪽.,41.3755,2.1778,Day 4,5
Day 5 1. 피카소 미술관,오전 · 보른에 있음. 사전 예약 권장.,41.3852,2.1809,Day 5,1
Day 5 2. 엘 보른 문화센터,오전 · 유적 보존 공간. 가볍게 둘러보기.,41.3856,2.1836,Day 5,2
Day 5 3. 엘 코르테 잉글레스 / 쇼핑,점심 전 · 기념품·필수품. 비행 시간에 맞게 축소.,41.3866,2.17,Day 5,3
Day 5 4. 바르셀로나 엘프라트 공항,출국 · 터미널·항공사 확인 후 이동. 동선 링크에는 포함하지 않음(대중교통/택시).,41.2974,2.0833,Day 5,4
