name,description,latitude,longitude,order,time
1. 카사 바트요 (Casa Batlló),Day 2 · 9/1 · 07:50 투어 시작 · 가우디 투어 1번째. 동선 확정.,41.3916,2.1649,1,07:50 투어 시작
2. 카사 밀라 (라 페드레라) (Casa Milà / La Pedrera),Day 2 · 9/1 · 투어 중 · 가우디 투어 2번째. 숙소(프로벤사)와 매우 가까움.,41.3954,2.1619,2,투어 중
3. 구엘 공원 (Park Güell),Day 2 · 9/1 · 투어 중 · 가우디 투어 3번째.,41.4145,2.1527,3,투어 중
4. 카사 비센스 (Casa Vicens),Day 2 · 9/1 · 투어 중 · 가우디 투어 4번째.,41.4035,2.1507,4,투어 중
5. 사그라다 파밀리아 (투어) (Sagrada Família),Day 2 · 9/1 · ~13:50 투어 종료 · 가우디 투어 마지막. 07:50–13:50 구간 종료 지점.,41.4036,2.1744,5,~13:50 투어 종료
6. 산 파우 병원 (Recinte Modernista de Sant Pau),Day 2 · 9/1 · 13:50 이후 · 투어 종료 후 사그라다에서 걸어 이동.,41.41278,2.17444,6,13:50 이후
8. 사그라다 파밀리아 (Sagrada Família),Day 2 · 9/1 · 16:00–17:00 · 내부 입장 확정. 투어와 별도 예약.,41.4036,2.1744,8,16:00–17:00
9. Passeig de Gràcia 쇼핑 (Passeig de Gràcia),Day 2 · 9/1 · 17:00 이후 · 메트로/도보. Zara · Massimo Dutti · Camper · Casa Batlló 외관 · Casa Amatller.,41.3916,2.1649,9,17:00 이후
10. 숙소 · 휴식 (Carrer de Provença 205),Day 2 · 9/1 · 쇼핑 후 · 짐 내려놓고 휴식.,41.3921707,2.1578355,10,쇼핑 후
11. 숙소 근처 저녁,Day 2 · 9/1 · 저녁 · 후보: La Bodegueta Provença · Vinitus · Cerveceria Catalana · 2254 Barcelona Restaurant · Vinitus Madrid-Barcelona,41.3921707,2.1578355,11,저녁
